num,EDAD,P6_1,P6_5,P6_7_4,P6_7_5,P6_9_4,P6_9_5,P7_3,P7_4,P7_5,P7_6_1,P7_6_2,P7_6_3,P7_6_4,P7_6_5,P7_6_6,P7_8_4,P7_8_5,P7_8_6,P7_8_7,P7_15,P7_16_1,P7_16_2,P7_16_3,P7_16_4,P7_16_5,P7_16_6,P7_16_7,P7_16_8,P7_16_9,P7_16_10,P7_17_1,P7_18_1,P7_23,P7_28,DOMINIO,TLOC,ESTRATO,SEXO,ENT
36,75,2,0,0,0,0,0,2,2,3,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,2,9
37,23,1,8,1,1,2,1,1,8,3,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,4,1,U,1,3,2,9
38,42,1,8,2,2,2,1,1,10,3,1,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,2,4,1,U,1,3,1,9
39,60,1,8,2,2,2,1,1,8,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,U,1,3,2,9
40,30,1,3,2,2,2,1,1,8,3,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,1,1,2,4,1,U,1,3,2,9
41,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,1,9
42,6,2,0,0,0,0,0,1,3,1,2,2,2,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,U,1,3,2,9
43,60,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,U,1,3,1,9
44,38,1,8,2,2,2,1,1,8,1,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,2,4,1,U,1,3,1,9
45,46,1,1,2,2,2,1,1,3,3,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,0,2,U,1,3,2,9
46,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,2,9
47,72,1,1,2,2,2,1,1,1,3,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,0,2,U,1,3,2,9
48,15,1,2,2,2,1,1,1,8,3,2,1,2,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,4,1,U,1,4,1,9
49,46,1,9,2,1,1,1,1,10,3,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,4,1,U,1,4,1,9
